,Date,Open,High,Low,Close,Adj Close,Volume,selected_call_strike,call_price_at_open,selected_put_strike,put_price_at_open,call_price_at_close,put_price_at_close,collar_cost,collar_payoff,collar_pnl
5535,2023-01-03,384.369995,386.429993,377.829987,380.820007,372.754303,74850700,388.0,0.3593,380.0,0.3822,0.0,0.0,0.022899999999999976,0.0,-0.022899999999999976
5536,2023-01-04,383.179993,385.880005,380.0,383.76001,375.63205,85934100,386.0,0.6944,380.0,0.6862,0.0,0.0,-0.008199999999999985,0.0,0.008199999999999985
5537,2023-01-05,381.720001,381.839996,378.76001,379.380005,371.344727,76970500,384.0,0.6643,379.0,0.6794,0.0,0.0,0.015100000000000002,0.0,-0.015100000000000002
5538,2023-01-06,382.609985,389.25,379.410004,388.079987,379.860474,104189600,385.0,0.9246,380.0,0.9394,3.079987000000017,0.0,0.014800000000000035,-3.079987000000017,-3.094787000000017
5539,2023-01-09,390.369995,393.700012,387.670013,387.859985,379.645142,73978100,394.0,0.2425,386.0,0.2382,0.0,0.0,-0.004299999999999998,0.0,0.004299999999999998
5540,2023-01-10,387.25,390.649994,386.269989,390.579987,382.307495,65358100,391.0,0.355,383.0,0.3186,0.0,0.0,-0.03639999999999999,0.0,0.03639999999999999
5541,2023-01-11,392.230011,395.600006,391.380005,395.519989,387.142883,68881100,389.0,3.71,396.0,3.7087,6.51998900000001,0.4800109999999904,-0.0013000000000000789,-6.039978000000019,-6.038678000000019
5542,2023-01-12,396.670013,398.48999,392.420013,396.959991,388.552429,90157700,400.0,0.8219,393.0,0.7608,0.0,0.0,-0.06109999999999993,0.0,0.06109999999999993
5543,2023-01-13,393.619995,399.100006,393.339996,398.5,390.059753,63903900,397.0,0.3804,390.0,0.3811,1.5,0.0,0.0006999999999999784,-1.5,-1.5007
5544,2023-01-17,398.480011,400.230011,397.059998,397.769989,389.345276,62677300,400.0,0.6547,397.0,0.645,0.0,0.0,-0.009699999999999931,0.0,0.009699999999999931
5545,2023-01-18,399.01001,400.119995,391.279999,391.48999,383.198273,99632300,400.0,0.7815,398.0,0.7932,0.0,6.5100100000000225,0.011700000000000044,6.5100100000000225,6.498310000000022
5546,2023-01-19,389.359985,391.079987,387.26001,388.640015,380.40863,86958900,393.0,0.285,385.0,0.2898,0.0,0.0,0.0048000000000000265,0.0,-0.0048000000000000265
5547,2023-01-20,390.100006,396.040009,388.380005,395.880005,387.495331,91806400,393.0,0.3075,386.0,0.2483,2.880004999999983,0.0,-0.0592,-2.880004999999983,-2.8208049999999827
5548,2023-01-23,396.720001,402.649994,395.720001,400.630005,392.144653,84178800,399.0,0.3747,394.0,0.3602,1.6300049999999828,0.0,-0.014499999999999957,-1.6300049999999828,-1.6155049999999829
5549,2023-01-24,398.880005,401.149994,397.640015,400.200012,391.723785,59524900,397.0,2.7308,401.0,2.7233,3.200012000000015,0.7999879999999848,-0.00749999999999984,-2.4000240000000304,-2.3925240000000305
5550,2023-01-25,395.950012,400.700012,393.559998,400.350006,391.870605,84800300,399.0,0.3671,392.0,0.3613,1.3500060000000076,0.0,-0.005799999999999972,-1.3500060000000076,-1.3442060000000076
5551,2023-01-26,403.130005,404.920013,400.029999,404.75,396.177399,72287400,405.0,0.7058,401.0,0.6586,0.0,0.0,-0.04720000000000002,0.0,0.04720000000000002
5552,2023-01-27,403.660004,408.160004,403.440002,405.679993,397.087708,68346200,406.0,0.5177,401.0,0.5236,0.0,0.0,0.005899999999999905,0.0,-0.005899999999999905
5553,2023-01-30,402.799988,405.130005,400.279999,400.589996,392.10556,74202000,403.0,1.5844,403.0,1.5454,0.0,2.410004000000015,-0.038999999999999924,2.410004000000015,2.4490040000000146
5554,2023-01-31,401.130005,406.529999,400.769989,406.480011,397.870789,86811800,405.0,0.2518,397.0,0.2277,1.4800109999999904,0.0,-0.02410000000000001,-1.4800109999999904,-1.4559109999999904
5555,2023-02-01,405.209991,413.670013,402.350006,410.799988,402.099304,101459200,409.0,1.09,401.0,1.02,1.7999879999999848,0.0,-0.07000000000000006,-1.7999879999999848,-1.7299879999999848
5556,2023-02-02,414.859985,418.309998,412.880005,416.779999,407.952606,101654500,418.0,0.4056,411.0,0.4095,0.0,0.0,0.003899999999999959,0.0,-0.003899999999999959
5557,2023-02-03,411.589996,416.970001,411.089996,412.350006,403.616486,94736800,415.0,0.5271,408.0,0.502,0.0,0.0,-0.02510000000000001,0.0,0.02510000000000001
5558,2023-02-06,409.790009,411.290009,408.100006,409.829987,401.149811,60295300,407.0,3.43,413.0,3.4144,2.829987000000017,3.170012999999983,-0.015600000000000058,0.3400259999999662,0.35562599999996625
5559,2023-02-07,408.869995,416.48999,407.570007,415.190002,406.396332,90990700,408.0,2.5,410.0,2.51,7.190001999999993,0.0,0.009999999999999787,-7.190001999999993,-7.2000019999999925
5560,2023-02-08,413.130005,414.529999,409.929993,410.649994,401.952454,76227500,417.0,0.3252,409.0,0.255,0.0,0.0,-0.07019999999999998,0.0,0.07019999999999998
5561,2023-02-09,414.410004,414.570007,405.809998,407.089996,398.467834,78694900,418.0,0.2802,410.0,0.246,0.0,2.910004000000015,-0.03420000000000001,2.910004000000015,2.944204000000015
5562,2023-02-10,405.859985,408.440002,405.01001,408.040009,399.397766,70769700,407.0,1.2039,405.0,1.1999,1.0400089999999977,0.0,-0.0040000000000000036,-1.0400089999999977,-1.0360089999999977
5563,2023-02-13,408.720001,412.970001,408.23999,412.829987,404.086273,64913500,412.0,0.3796,405.0,0.3655,0.8299870000000169,0.0,-0.014100000000000001,-0.8299870000000169,-0.8158870000000169
5564,2023-02-14,411.23999,415.049988,408.51001,412.640015,403.90033,88389300,415.0,0.6304,407.0,0.6241,0.0,0.0,-0.006299999999999972,0.0,0.006299999999999972
5565,2023-02-15,410.350006,414.059998,409.470001,413.980011,405.211945,61555700,414.0,0.353,407.0,0.4107,0.0,0.0,0.05770000000000003,0.0,-0.05770000000000003
5566,2023-02-16,408.790009,412.910004,408.140015,408.279999,399.632629,76431500,407.0,2.8229,411.0,2.7799,1.2799989999999752,2.7200010000000248,-0.04300000000000015,1.4400020000000495,1.4830020000000497
5567,2023-02-17,406.059998,407.51001,404.049988,407.26001,398.634247,89257800,407.0,1.276,405.0,1.2793,0.2600100000000225,0.0,0.0033000000000000806,-0.2600100000000225,-0.2633100000000226
5568,2023-02-21,403.059998,404.160004,398.820007,399.089996,390.637329,82655900,407.0,0.3008,399.0,0.264,0.0,0.0,-0.0368,0.0,0.0368
5569,2023-02-22,399.519989,401.130005,397.019989,398.540009,390.098969,83742300,403.0,0.4867,396.0,0.486,0.0,0.0,-0.0007000000000000339,0.0,0.0007000000000000339
5570,2023-02-23,401.559998,402.200012,396.25,400.660004,392.174042,96242400,403.0,0.7333,400.0,0.7296,0.0,0.0,-0.0036999999999999256,0.0,0.0036999999999999256
5571,2023-02-24,395.420013,397.25,393.640015,396.380005,387.984711,108194400,399.0,0.3807,391.0,0.33,0.0,0.0,-0.05069999999999997,0.0,0.05069999999999997
5572,2023-02-27,399.869995,401.290009,396.75,397.730011,389.306122,80444700,403.0,0.2929,396.0,0.2867,0.0,0.0,-0.006199999999999983,0.0,0.006199999999999983
5573,2023-02-28,397.230011,399.279999,396.149994,396.26001,387.867279,96438600,401.0,0.2006,393.0,0.1769,0.0,0.0,-0.0237,0.0,0.0237
5574,2023-03-01,395.410004,396.690002,393.380005,394.73999,386.379425,99706800,399.0,0.27,391.0,0.21,0.0,0.0,-0.060000000000000026,0.0,0.060000000000000026
5575,2023-03-02,392.679993,398.690002,392.329987,397.809998,389.384369,85127800,396.0,0.2741,389.0,0.2635,1.8099980000000073,0.0,-0.010599999999999998,-1.8099980000000073,-1.7993980000000074
5576,2023-03-03,399.709991,404.450012,399.029999,404.190002,395.629272,90120000,402.0,0.496,397.0,0.4832,2.1900019999999927,0.0,-0.012799999999999978,-2.1900019999999927,-2.1772019999999928
5577,2023-03-06,405.049988,407.450012,404.01001,404.470001,395.903351,72795900,409.0,0.1099,400.0,0.1055,0.0,0.0,-0.004400000000000001,0.0,0.004400000000000001
5578,2023-03-07,404.420013,404.670013,397.630005,398.269989,389.834625,108310600,402.0,3.32,407.0,3.33,0.0,8.73001099999999,0.010000000000000231,8.73001099999999,8.72001099999999
5579,2023-03-08,398.390015,399.709991,396.589996,398.920013,390.470947,74746600,402.0,0.2733,394.0,0.2394,0.0,0.0,-0.033899999999999986,0.0,0.033899999999999986
5580,2023-03-09,399.73999,401.480011,390.529999,391.559998,383.266754,111945300,403.0,0.2122,396.0,0.1943,0.0,4.440001999999993,-0.0179,4.440001999999993,4.457901999999993
5581,2023-03-10,390.98999,393.160004,384.320007,385.910004,377.736481,189253000,390.0,2.5275,392.0,2.519,0.0,6.089995999999985,-0.00849999999999973,6.089995999999985,6.098495999999985
5582,2023-03-13,381.809998,390.390015,380.649994,385.359985,377.19809,157790000,385.0,1.2745,378.0,1.223,0.35998499999999467,0.0,-0.05149999999999988,-0.35998499999999467,-0.3084849999999948
5583,2023-03-14,390.5,393.450012,387.049988,391.730011,383.433197,149752400,390.0,2.3121,391.0,2.3416,1.7300109999999904,0.0,0.02950000000000008,-1.7300109999999904,-1.7595109999999905
5584,2023-03-15,385.890015,389.48999,383.709991,389.279999,381.035065,172996900,389.0,1.0757,382.0,1.0277,0.27999899999997524,0.0,-0.04800000000000004,-0.27999899999997524,-0.2319989999999752
