Ex/EFF Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
9/15/00,Cash,$0.38 ,N/A,9/19/00,10/31/00
6/16/00,Cash,$0.35 ,N/A,6/20/00,7/31/00
3/17/00,Cash,$0.37 ,N/A,3/21/00,4/28/00
12/17/99,Cash,$0.35 ,N/A,12/21/99,1/31/00
9/17/99,Cash,$0.37 ,N/A,9/21/99,10/29/99
6/18/99,Cash,$0.40 ,N/A,6/22/99,7/30/99
3/19/99,Cash,$0.32 ,3/8/99,3/23/99,4/30/99
12/18/98,Cash,$0.39 ,N/A,12/22/98,1/29/99
9/18/98,Cash,$0.36 ,N/A,9/22/98,10/30/98
6/19/98,Cash,$0.35 ,N/A,6/23/98,7/31/98
3/20/98,Cash,$0.31 ,N/A,3/24/98,4/30/98
12/19/97,Cash,$0.38 ,N/A,12/23/97,1/31/98
9/19/97,Cash,$0.35 ,N/A,9/23/97,10/31/97
6/20/97,Cash,$0.35 ,N/A,6/24/97,7/31/97
3/21/97,Cash,$0.30 ,N/A,3/25/97,4/30/97
12/20/96,Cash,$0.37 ,N/A,12/24/96,1/31/97
9/20/96,Cash,$0.35 ,N/A,9/24/96,10/31/96
6/21/96,Cash,$0.35 ,N/A,6/25/96,7/31/96
3/15/96,Cash,$0.29 ,N/A,3/19/96,4/30/96
12/15/95,Cash,$0.38 ,N/A,12/19/95,1/31/96
9/15/95,Cash,$0.31 ,N/A,9/19/95,10/31/95
6/16/95,Cash,$0.32 ,N/A,6/20/95,7/31/95
