Date,Open,High,Low,Close,Adj Close,Volume
1/2/18,267.839996,268.809998,267.399994,268.769989,242.319397,86655700
1/3/18,268.959991,270.640015,268.959991,270.470001,243.852127,90070400
1/4/18,271.200012,272.160004,270.540009,271.609985,244.879868,80636400
1/5/18,272.51001,273.559998,271.950012,273.420013,246.51178,83524000
1/8/18,273.309998,274.100006,272.980011,273.920013,246.962601,57319200
1/9/18,274.399994,275.25,274.079987,274.540009,247.52153,57254000
1/10/18,273.679993,274.420013,272.920013,274.119995,247.142792,69574300
1/11/18,274.75,276.119995,274.559998,276.119995,248.94606,62361500
1/12/18,276.420013,278.109985,276.079987,277.920013,250.568878,90816100
1/16/18,279.350006,280.089996,276.179993,276.970001,249.712387,106555100
1/17/18,278.029999,280.049988,276.970001,279.609985,252.09256,113258800
1/18/18,279.480011,279.959991,278.579987,279.140015,251.668839,100728000
1/19/18,279.799988,280.410004,279.140015,280.410004,252.813812,140920100
1/22/18,280.170013,282.690002,280.109985,282.690002,254.869492,91322400
1/23/18,282.73999,283.619995,282.369995,283.290009,255.410477,97084700
1/24/18,284.019989,284.700012,281.839996,283.179993,255.311172,134816100
1/25/18,284.160004,284.269989,282.399994,283.299988,255.419388,84587300
1/26/18,284.25,286.630005,283.959991,286.579987,258.376617,107743100
1/29/18,285.929993,286.429993,284.5,284.679993,256.663666,90118300
1/30/18,282.600006,284.73999,281.220001,281.76001,254.031021,131796400
1/31/18,282.730011,283.299988,280.679993,281.899994,254.157272,108364800
2/1/18,281.070007,283.059998,280.679993,281.579987,253.868683,90102500
2/2/18,280.079987,280.230011,275.410004,275.450012,248.342026,173174800
2/5/18,273.450012,275.850006,263.309998,263.929993,237.955704,294681800
2/6/18,259.940002,269.700012,258.700012,269.130005,242.643951,355026800
2/7/18,268.5,272.359985,267.579987,267.670013,241.327744,167376100
2/8/18,268.01001,268.170013,257.589996,257.630005,232.275681,246449500
2/9/18,260.799988,263.609985,252.919998,261.5,235.764847,283565300
2/12/18,263.829987,267.01001,261.660004,265.339996,239.226974,143736000
2/13/18,263.970001,266.619995,263.309998,266,239.82196,81223600
2/14/18,264.309998,270,264.299988,269.589996,243.05867,120735700
2/15/18,271.570007,273.040009,268.769989,273.029999,246.160187,111200300
2/16/18,272.320007,275.320007,272.269989,273.109985,246.232285,160420100
2/20/18,272.029999,273.670013,270.5,271.399994,244.690536,86369700
2/21/18,271.899994,274.720001,269.940002,270.049988,243.473419,98883700
2/22/18,271.100006,273.049988,269.640015,270.399994,243.78894,110511300
2/23/18,271.790009,274.709991,271.25,274.709991,247.674805,92766400
2/26/18,275.929993,278.01001,275.26001,277.899994,250.550827,86491400
2/27/18,278.109985,278.920013,274.359985,274.429993,247.422409,99099200
2/28/18,275.679993,276.190002,271.290009,271.649994,244.915924,121907800
3/1/18,271.410004,273.170013,266,267.700012,241.354691,176855100
3/2/18,265.799988,269.720001,264.820007,269.079987,242.598862,139083200
3/5/18,267.730011,272.890015,267.609985,272.190002,245.402756,97307400
3/6/18,273.299988,273.390015,271.179993,272.880005,246.024887,79213200
3/7/18,270.420013,273.179993,270.200012,272.779999,245.934799,87063500
3/8/18,273.549988,274.23999,272.420013,274.100006,247.124893,66901200
3/9/18,275.700012,278.869995,275.339996,278.869995,251.425415,113625300
3/12/18,279.200012,279.910004,278.079987,278.519989,251.109848,71924800
